symbol,total_pairs,min_horizon_sessions,max_horizon_sessions,distinct_ref_dates,distinct_tgt_dates
PAGEIND,21,1,7,6,6
CESC,21,1,7,6,6
CERA,21,1,7,6,6
CENTUM,21,1,7,6,6
BOSCHLTD,21,1,7,6,6
PIRAMALFIN,21,1,7,6,6
PINELABS,21,1,7,6,6
PIIND,21,1,7,6,6
OSWALPUMPS,21,1,7,6,6
ORCHPHARMA,21,1,7,6,6
ONGC,21,1,7,6,6
ONESOURCE,21,1,7,6,6
OMNI,21,1,7,6,6
OMAXE,21,1,7,6,6
OLECTRA,21,1,7,6,6
OLAELEC,21,1,7,6,6
CLEANMAX,21,1,7,6,6
CLEAN,21,1,7,6,6
CIPLA,21,1,7,6,6
CIEINDIA,21,1,7,6,6
CARYSIL,21,1,7,6,6
CARTRADE,21,1,7,6,6
CARBORUNIV,21,1,7,6,6
CANHLIFE,21,1,7,6,6
CHAMBLFERT,21,1,7,6,6
CHALET,21,1,7,6,6
CGPOWER,21,1,7,6,6
CGCL,21,1,7,6,6
OIL,21,1,7,6,6
OFSS,21,1,7,6,6
OBEROIRLTY,21,1,7,6,6
NYKAA,21,1,7,6,6
NUVOCO,21,1,7,6,6
NUVAMA,21,1,7,6,6
NTPCGREEN,21,1,7,6,6
NTPC,21,1,7,6,6
CENTRALBK,21,1,7,6,6
CEMPRO,21,1,7,6,6
CEATLTD,21,1,7,6,6
CDSL,21,1,7,6,6
COLPAL,21,1,7,6,6
COHANCE,21,1,7,6,6
COFORGE,21,1,7,6,6
COCHINSHIP,21,1,7,6,6
COALINDIA,21,1,7,6,6
CNL,21,1,7,6,6
CMSINFO,21,1,7,6,6
CMRGREEN,21,1,7,6,6
CMPDI,21,1,7,6,6
CROMPTON,21,1,7,6,6
CRIZAC,21,1,7,6,6
CREDITACC,21,1,7,6,6
CHOLAHLDNG,21,1,7,6,6
CHOLAFIN,21,1,7,6,6
CHENNPETRO,21,1,7,6,6
CHEMPLASTS,21,1,7,6,6
CONTROLPR,21,1,7,6,6
CONFIPET,21,1,7,6,6
NORTHARC,21,1,7,6,6
NMDC,21,1,7,6,6
NLCINDIA,21,1,7,6,6
