minute_time,sample_count,avg_abs_return_1m,median_abs_return_1m,std_return_1m,avg_volume,median_volume,time_str
09:16:00,6544,0.45650522225959234,0.26430048455735,0.797073084621628,29405.409077017113,1644.5,09:16:00
09:17:00,6093,0.3307594058962278,0.18966944740956207,0.6077141863832168,22959.234575442882,1257.0,09:17:00
09:18:00,6056,0.2763392346498519,0.1575062222646057,0.49677710903156913,23230.062844880442,1160.0,09:18:00
09:19:00,6031,0.2680409074657413,0.1444601603730104,0.5779442680156809,18771.86360176587,1027.0,09:19:00
09:20:00,6010,0.2573941803610465,0.1408346995384447,0.5349829767154185,18331.173534798534,989.5,09:20:00
09:21:00,5966,0.22455907887004897,0.12232839135145047,0.47573137853480724,19376.151254039083,956.0,09:21:00
09:22:00,5971,0.22622289428780046,0.11771451172861161,0.5140972584739902,17594.912163190744,854.0,09:22:00
09:23:00,5987,0.21141888672012887,0.10961153074846766,0.5262273001342807,15076.309770992366,777.0,09:23:00
09:24:00,5929,0.21605993350659508,0.10712208752146399,0.6264468659695577,15679.806476484195,725.0,09:24:00
09:25:00,5868,0.20647030706113192,0.1105560603522963,0.47130462471868123,14335.182280431432,718.0,09:25:00
09:26:00,5859,0.18668455903472625,0.09804402059235608,0.4469477390782413,15005.836307214895,706.0,09:26:00
09:27:00,5861,0.19921404357833333,0.10651896175999179,0.4926594106689354,15923.937519142419,731.0,09:27:00
09:28:00,5846,0.17654950975278894,0.09027188977996616,0.3875131511084561,12154.811713531148,696.0,09:28:00
09:29:00,5759,0.16939598145806975,0.08428126838986627,0.37461312353048093,11839.152775605942,616.0,09:29:00
09:30:00,5865,0.17841872957706656,0.09712271487134759,0.3376367585183287,16617.073901963722,589.0,09:30:00
09:31:00,5945,0.17893644829097435,0.09391326981214675,0.3886229357151902,11199.66245376079,596.5,09:31:00
09:32:00,5842,0.17193461899456094,0.09033423667570009,0.403361484378459,11540.94650840142,563.0,09:32:00
09:33:00,5780,0.16349025676106113,0.0858464499437616,0.3396902734608831,11797.960270100502,581.0,09:33:00
09:34:00,5678,0.1585858862706052,0.08444564847577304,0.32058593225171506,11326.250943396226,598.5,09:34:00
09:35:00,5659,0.1611348551435813,0.0834845411343961,0.3561490867817895,11462.431298312036,595.0,09:35:00
09:36:00,5646,0.15522475344941775,0.08102641068210303,0.32506455856918137,10305.912705956907,531.0,09:36:00
09:37:00,5595,0.15432992865799275,0.08416154049988236,0.33741226733483853,10561.498406628425,563.0,09:37:00
09:38:00,5580,0.158064518774556,0.08367174601556804,0.3903770174313771,11157.943006826481,583.0,09:38:00
09:39:00,5549,0.14398447537709028,0.07940143385372328,0.30677646416073556,10727.237230966914,548.5,09:39:00
09:40:00,5521,0.14906046678030704,0.07688341792190714,0.3551944803745293,12301.84431617765,500.0,09:40:00
09:41:00,5464,0.14310200413330454,0.07704450444469106,0.28531214653713766,10225.278029812054,533.5,09:41:00
09:42:00,5464,0.14067778170878364,0.07182159675982933,0.29506738229748475,9376.017909002905,478.0,09:42:00
09:43:00,5413,0.14701432297509417,0.07218161088752782,0.33465068244813223,10123.652315190902,509.0,09:43:00
09:44:00,5445,0.1407203155177503,0.0728663437997113,0.305995876336935,9046.26540436457,452.0,09:44:00
09:45:00,5455,0.14311964317770362,0.07277007341344943,0.321618597612312,10375.511150903467,516.0,09:45:00
09:46:00,5379,0.1377174557204526,0.07112602268466128,0.288484567281222,11278.133583428478,512.0,09:46:00
09:47:00,5381,0.1357976299901968,0.07153239777743396,0.28373977249386023,11446.035626736395,470.0,09:47:00
09:48:00,5320,0.1420733523758763,0.07619473876142502,0.32708282439621394,13275.075682790392,475.0,09:48:00
09:49:00,5360,0.14330873104676745,0.07081759094604079,0.3876656630994997,9453.751263243685,494.0,09:49:00
09:50:00,5306,0.13348207422761021,0.0696952165654644,0.2721296304698762,10893.501986097319,445.0,09:50:00
09:51:00,5249,0.13346168788358895,0.07049314468573888,0.2916564121289782,8850.907159585146,465.5,09:51:00
09:52:00,5232,0.13247703355674398,0.07153977541715804,0.27769988553684927,8084.595104201125,464.0,09:52:00
09:53:00,5247,0.1346711601647776,0.06628099622697282,0.3052222098664136,8603.098284191237,477.0,09:53:00
09:54:00,5237,0.13533296123602093,0.06891985582635449,0.286041447400622,11828.847146401986,460.0,09:54:00
09:55:00,5255,0.12711946649586933,0.06356471084652024,0.265146146429586,8849.611910669975,440.0,09:55:00
09:56:00,5200,0.1299903642754605,0.0647683287258878,0.3106443030259769,9395.932174793319,450.0,09:56:00
09:57:00,5168,0.12063626412660075,0.06274847641082758,0.24264363770042174,8674.932563587685,421.0,09:57:00
09:58:00,5204,0.12202006810960221,0.05948900464682445,0.2671979022802567,8335.500420097462,426.0,09:58:00
09:59:00,5127,0.12168698868970354,0.06447600731310166,0.22533330877543659,8853.051203797897,444.0,09:59:00
10:00:00,5186,0.12572680749271056,0.06543640564587425,0.2937445237645022,12366.057408329185,417.0,10:00:00
10:01:00,5256,0.12945941040833503,0.06806386559908215,0.3031821695034299,11043.802001668057,429.0,10:01:00
10:02:00,5144,0.11601318762258041,0.059633866897725825,0.23542110439403843,9808.091855898925,391.0,10:02:00
10:03:00,5165,0.11426641193551804,0.05778524900189115,0.27118440270792077,10229.352021294293,398.0,10:03:00
10:04:00,5164,0.1176616962759951,0.060753099005540045,0.255955367331167,8620.961486025903,398.0,10:04:00
10:05:00,5159,0.11799628936626777,0.06078389214210733,0.28649807851016434,9061.629617248871,389.0,10:05:00
10:06:00,5138,0.10787913614642683,0.054693933171688,0.2235338531320896,10098.845943637916,378.0,10:06:00
10:07:00,5057,0.11548306793371704,0.06108176334186315,0.2829881503278622,9685.09321745058,394.5,10:07:00
10:08:00,5045,0.11639803819386522,0.05681948105162965,0.2784904909006127,10509.101970865468,379.0,10:08:00
10:09:00,5053,0.11440742549765304,0.056618731040984305,0.2547594765122674,7165.529522184301,382.0,10:09:00
10:10:00,5118,0.11590593614064225,0.052415765459642175,0.29759550827103404,7250.821216742925,342.0,10:10:00
10:11:00,5046,0.11497616094142805,0.058588531077171935,0.25639202413357814,7150.92019907328,360.0,10:11:00
10:12:00,5035,0.11164632878311687,0.05559755581132732,0.25169923561785573,8496.365229342038,346.0,10:12:00
10:13:00,5003,0.11249244200319684,0.056473604306287555,0.273789343143448,7839.388229220444,344.0,10:13:00
