horizon,test_samples,accuracy,macro_f1,down_recall,stable_recall,up_recall,status,notes
H1,1235,0.4640,0.3563,0.5144,0.6103,0.0359,EVALUATED,Evaluated on 1235 active out-of-sample test pairs
H2,0,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,Requires subsequent market sessions to be ingested
H3,0,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,Requires subsequent market sessions to be ingested
H4,0,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,Requires subsequent market sessions to be ingested
H5,0,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,Requires subsequent market sessions to be ingested
H6,0,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,Requires subsequent market sessions to be ingested
H7,0,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,NOT YET EVALUABLE,Requires subsequent market sessions to be ingested
