model,split,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,down_f1,stable_f1,up_f1,down_precision,stable_precision,up_precision,down_recall,stable_recall,up_recall,log_loss
H1 Logistic Regression (C=0.1),Validation,0.4416,0.4041,0.3957,0.4208,0.4041,0.3546,0.5642,0.2684,0.2921,0.5688,0.4016,0.4512,0.5596,0.2016,1.0861
H1 Logistic Regression (C=0.1),Test,0.3971,0.3842,0.3732,0.3899,0.3842,0.4088,0.4749,0.2358,0.36,0.4486,0.3612,0.473,0.5045,0.175,1.128
H1 Random Forest (depth=6),Validation,0.4577,0.4064,0.4039,0.4045,0.4064,0.2534,0.5982,0.3602,0.2857,0.5849,0.3429,0.2276,0.6121,0.3794,1.0512
H1 Random Forest (depth=6),Test,0.3805,0.3761,0.3743,0.3745,0.3761,0.3272,0.4514,0.3444,0.3543,0.4333,0.3359,0.304,0.4711,0.3533,1.0937
H1 Extra Trees (depth=6),Validation,0.4567,0.4004,0.3879,0.4192,0.4004,0.3405,0.6066,0.2165,0.2869,0.5829,0.3878,0.4187,0.6323,0.1502,1.0673
H1 Extra Trees (depth=6),Test,0.3871,0.3739,0.3601,0.3869,0.3739,0.4036,0.4594,0.2173,0.3466,0.4351,0.379,0.483,0.4865,0.1524,1.0848
"H1 XGBoost (depth=3, lr=0.05)",Validation,0.4497,0.4025,0.4026,0.4044,0.4025,0.3056,0.588,0.3142,0.2915,0.5822,0.3394,0.3211,0.5939,0.2925,1.0637
"H1 XGBoost (depth=3, lr=0.05)",Test,0.3748,0.3676,0.3664,0.3676,0.3676,0.3706,0.4398,0.2888,0.3526,0.4319,0.3184,0.3906,0.448,0.2642,1.1101
